,1,2,3,4,5
131,Hofstra University,43960,#132,Hempstead,NY
132,Louisiana State University--Baton Rouge,28051,#133,Baton Rouge,LA
133,Mercer University,36000,#133,Macon,GA
134,The New School,47330,#133,New York,NY
135,Rutgers University--Newark,29480,#133,Newark,NJ
136,University of Arkansas,24308,#133,Fayetteville,AR
137,University of Cincinnati,26334,#133,Cincinnati,OH
138,University of Kentucky,28046,#133,Lexington,KY
139,George Mason University,34370,#140,Fairfax,VA
140,New Jersey Institute of Technology,31034,#140,Newark,NJ
141,San Diego State University,19340,#140,San Diego,CA
142,University of South Florida,17324,#140,Tampa,FL
143,Washington State University,25817,#140,Pullman,WA
144,Kansas State University,24775,#145,Manhattan,KS
145,Oregon State University,29457,#145,Corvallis,OR
146,St. John Fisher College,33120,#145,Rochester,NY
147,University of Illinois--Chicago,27672,#145,Chicago,IL
148,University of Mississippi,23554,#145,University,MS
149,University of Texas--Dallas,33654,#145,Richardson,TX
150,Adelphi University,37170,#151,Garden City,NY
151,Florida Institute of Technology,41240,#151,Melbourne,FL
152,Ohio University,21360,#151,Athens,OH
153,Seattle Pacific University,40893,#151,Seattle,WA
154,University at Albany--SUNY,24358,#151,Albany,NY
155,Oklahoma State University,23776,#156,Stillwater,OK
156,University of Massachusetts--Lowell,31865,#156,Lowell,MA
157,University of Rhode Island,28874,#156,Kingston,RI
158,Biola University,38448,#159,La Mirada,CA
159,Illinois State University,25168,#159,Normal,IL
160,University of Alabama--Birmingham,23790,#159,Birmingham,AL
161,University of Hawaii--Manoa,33764,#159,Honolulu,HI
162,University of La Verne,41450,#159,La Verne,CA
163,University of Maryland--Baltimore County,25654,#159,Baltimore,MD
164,Immaculata University,27350,#165,Immaculata,PA
165,Maryville University of St. Louis,28470,#165,St Louis,MO
166,Missouri University of Science & Technology,27701,#165,Rolla,MO
167,St. John's University,40790,#165,Queens,NY
168,University of California--Merced,41612,#165,Merced,CA
169,University of Louisville,26286,#165,Louisville,KY
170,Mississippi State University,22358,#171,Mississippi State,MS
171,Rowan University,21378,#171,Glassboro,NJ
172,University of Central Florida,22467,#171,Orlando,FL
173,University of Idaho,23812,#171,Moscow,ID
174,Virginia Commonwealth University,32942,#171,Richmond,VA
175,Kent State University,18376,#176,Kent,OH
176,Robert Morris University,29420,#176,Moon Township,PA
177,Texas Tech University,23011,#176,Lubbock,TX
178,Union University,31580,#176,Jackson,TN
179,University of Hartford,38910,#176,West Hartford,CT
180,Edgewood College,28500,#181,Madison,WI
181,Lesley University,26550,#181,Cambridge,MA
182,Lipscomb University,30932,#181,Nashville,TN
183,Suffolk University,37270,#181,Boston,MA
184,University of Maine,30282,#181,Orono,ME
185,University of Wyoming,16827,#181,Laramie,WY
186,Azusa Pacific University,36120,#187,Azusa,CA
187,Ball State University,25938,#187,Muncie,IN
188,Montclair State University,20566,#187,Montclair,NJ
189,Pace University,44036,#187,New York,NY
190,West Virginia University,23616,#187,Morgantown,WV
191,Andrews University,28436,#192,Berrien Springs,MI
192,Indiana University-Purdue University--Indianapolis,29806,#192,Indianapolis,IN
193,University of Houston,27337,#192,Houston,TX
194,University of New Mexico,22412,#192,Albuquerque,NM
195,University of North Dakota,21462,#192,Grand Forks,ND
196,Widener University,44166,#192,Chester,PA
197,New Mexico State University,22701,#198,Las Cruces,NM
198,North Dakota State University,20571,#198,Fargo,ND
199,Nova Southeastern University,29940,#198,Ft. Lauderdale,FL
200,University of North Carolina--Charlotte,20268,#198,Charlotte,NC
201,Bowling Green State University,18593,#202,Bowling Green,OH
202,California State University--Fullerton,17460,#202,Fullerton,CA
203,Dallas Baptist University,27480,#202,Dallas,TX
204,University of Massachusetts--Boston,32985,#202,Boston,MA
205,University of Nevada--Reno,21787,#202,Reno,NV
206,Central Michigan University,23670,#207,Mount Pleasant,MI
207,East Carolina University,23420,#207,Greenville,NC
208,Florida A&M University,17725,#207,Tallahassee,FL
209,Montana State University,23042,#207,Bozeman,MT
210,University of Alaska--Fairbanks,23534,#207,Fairbanks,AK
211,University of Colorado--Denver,31209,#207,Denver,CO
212,University of Massachusetts--Dartmouth,28285,#207,North Dartmouth,MA
213,University of Montana,24943,#207,Missoula,MT
214,Western Michigan University,14699,#207,Kalamazoo,MI
215,Florida International University,18956,#216,Miami,FL
216,Louisiana Tech University,18438,#216,Ruston,LA
217,South Dakota State University,11403,#216,Brookings,SD
218,Southern Illinois University--Carbondale,13936,#216,Carbondale,IL
219,University of Alabama--Huntsville,21480,#216,Huntsville,AL
220,University of Missouri--Kansas City,25999,#216,Kansas City,MO
221,Utah State University,20726,#216,Logan,UT
222,Ashland University,20700,#223,Ashland,OH
223,Benedictine University,33900,#223,Lisle,IL
224,California State University--Fresno,17929,#223,Fresno,CA
225,Gardner-Webb University,30740,#223,Boiling Springs,NC
226,Georgia State University,29432,#223,Atlanta,GA
227,Shenandoah University,31920,#223,Winchester,VA
228,University of South Dakota,11688,#223,Vermillion,SD
229,Wayne State University,28590,#223,Detroit,MI
230,American International College,33140,#231-#300,Springfield,MA
231,Augusta University,23606,#231-#300,Augusta,GA
232,Barry University,29700,#231-#300,Miami Shores,FL
233,Boise State University,22642,#231-#300,Boise,ID
234,Cardinal Stritch University,28844,#231-#300,Milwaukee,WI
235,Clark Atlanta University,23082,#231-#300,Atlanta,GA
236,Cleveland State University,13848,#231-#300,Cleveland,OH
237,Eastern Michigan University,11530,#231-#300,Ypsilanti,MI
238,East Tennessee State University,26463,#231-#300,Johnson City,TN
239,Florida Atlantic University,21595,#231-#300,Boca Raton,FL
240,Georgia Southern University,18692,#231-#300,Statesboro,GA
241,Grand Canyon University,17050,#231-#300,Phoenix,AZ
242,Indiana State University,19454,#231-#300,Terre Haute,IN
243,Indiana University of Pennsylvania,15882,#231-#300,Indiana,PA
244,Jackson State University,17614,#231-#300,Jackson,MS
245,Kennesaw State University,21158,#231-#300,Kennesaw,GA
246,Lamar University,22561,#231-#300,Beaumont,TX
247,Liberty University,24304,#231-#300,Lynchburg,VA
248,Lindenwood University,16960,#231-#300,St. Charles,MO
249,Middle Tennessee State University,27578,#231-#300,Murfreesboro,TN
250,Morgan State University,17833,#231-#300,Baltimore,MD
251,National Louis University,10380,#231-#300,Chicago,IL
252,North Carolina A&T State University,19416,#231-#300,Greensboro,NC
253,Northern Arizona University,24841,#231-#300,Flagstaff,AZ
254,Northern Illinois University,23817,#231-#300,DeKalb,IL
255,Oakland University,24735,#231-#300,Rochester,MI
256,Old Dominion University,28200,#231-#300,Norfolk,VA
257,Portland State University,21180,#231-#300,Portland,OR
258,Prairie View A&M University,10059,#231-#300,Prairie View,TX
259,Regent University,17450,#231-#300,Virginia Beach,VA
260,Sam Houston State University,22340,#231-#300,Huntsville,TX
261,San Francisco State University,19134,#231-#300,San Francisco,CA
262,Spalding University,24388,#231-#300,Louisville,KY
263,Tennessee State University,20178,#231-#300,Nashville,TN
264,Tennessee Technological University,26190,#231-#300,Cookeville,TN
265,Texas A&M University--Commerce,20884,#231-#300,Commerce,TX
266,Texas A&M University--Corpus Christi,26061,#231-#300,Corpus Christi,TX
267,Texas A&M University--Kingsville,20912,#231-#300,Kingsville,TX
268,Texas Southern University,21240,#231-#300,Houston,TX
269,Texas State University,23071,#231-#300,San Marcos,TX
270,Texas Woman's University,21816,#231-#300,Denton,TX
271,Trevecca Nazarene University,25100,#231-#300,Nashville,TN
272,Trinity International University,30750,#231-#300,Deerfield,IL
273,University of Akron,21863,#231-#300,Akron,OH
274,University of Arkansas--Little Rock,19797,#231-#300,Little Rock,AR
275,University of Louisiana--Lafayette,23074,#231-#300,Lafayette,LA
276,University of Louisiana--Monroe,20381,#231-#300,Monroe,LA
277,University of Maryland--Eastern Shore,18048,#231-#300,Princess Anne,MD
278,University of Memphis,21413,#231-#300,Memphis,TN
279,University of Missouri--St. Louis,27327,#231-#300,St. Louis,MO
280,University of Nebraska--Omaha,22035,#231-#300,Omaha,NE
281,University of Nevada--Las Vegas,21498,#231-#300,Las Vegas,NV
282,University of New Orleans,13530,#231-#300,New Orleans,LA
283,University of North Carolina--Greensboro,22410,#231-#300,Greensboro,NC
284,University of Northern Colorado,20474,#231-#300,Greeley,CO
285,University of North Texas,23716,#231-#300,Denton,TX
286,University of South Alabama,19586,#231-#300,Mobile,AL
287,University of Southern Mississippi,9854,#231-#300,Hattiesburg,MS
288,University of Texas--Arlington,25152,#231-#300,Arlington,TX
289,University of Texas--El Paso,21396,#231-#300,El Paso,TX
290,University of Texas--Rio Grande Valley,17230,#231-#300,Edinburg,TX
291,University of Texas--San Antonio,23379,#231-#300,San Antonio,TX
292,University of the Cumberlands,23000,#231-#300,Williamsburg,KY
293,University of Toledo,18578,#231-#300,Toledo,OH
294,University of West Florida,18628,#231-#300,Pensacola,FL
295,University of West Georgia,20406,#231-#300,Carrollton,GA
296,University of Wisconsin--Milwaukee,19851,#231-#300,Milwaukee,WI
297,Valdosta State University,17196,#231-#300,Valdosta,GA
298,Wichita State University,17270,#231-#300,Wichita,KS
299,Wright State University,17350,#231-#300,Dayton,OH
300,Alliant International University,17510,Unranked,San Diego,CA
301,Argosy University,13152,Unranked,Orange,CA
302,California Institute of Integral Studies,28467,Unranked,San Francisco,CA
303,Capella University,13998,Unranked,Minneapolis,MN
304,Idaho State University,21023,Unranked,Pocatello,ID
305,Northcentral University,10368,Unranked,San Diego,AZ
306,Trident University International,9000,Unranked,Cypress,CA
307,Union Institute and University,12416,Unranked,Cincinnati,OH
308,University of Phoenix,9690,Unranked,Phoenix,AZ
309,Walden University,12075,Unranked,Minneapolis,MN
310,Wilmington University,10940,Unranked,New Castle,DE
